FF SN,SF SN,lv-R,lv-G,lv-B,lv-W,mix_W_2000_r_ratio_current,mix_W_2000_g_ratio_current,mix_W_2000_b_ratio_current,w_4000_current
4Q3XF2JJ02003N,4Q0YM76J0Q00CF,213.5,380.8,165.2,269.7,2400.0,600.0,600.0,5200.0
4Q3XF2JJ02003Q,4Q0YM76J0Q0056,242.8,457.2,183.7,324.6,1700.0,300.0,400.0,4200.0
4Q3XF2JJ02003R,4Q0YM76J0Q007M,30.7,300.4,156.0,147.4,2100.0,500.0,600.0,4800.0
4Q3XF2JJ02003T,4Q0YM76J0Q003N,187.7,341.1,145.3,260.0,2100.0,400.0,500.0,5900.0
4Q3XF2JJ020048,4Q0YM76J0Q006D,200.3,370.6,160.6,262.4,2100.0,500.0,600.0,5600.0
4Q3XF2JJ02004B,4Q0YM76J0Q00HF,200.3,371.4,164.0,264.4,2100.0,500.0,600.0,4400.0
4Q3XF2JJ02004T,4Q0YM76J0N008D,233.5,410.0,184.3,270.4,2000.0,400.0,500.0,4400.0
4Q3XF2JJ02004W,4Q0YM76J0Q00FG,164.8,341.1,168.0,170.7,2100.0,300.0,500.0,4400.0
4Q3XF2JJ02004X,4Q0YM76J0Q003C,260.8,417.5,177.6,287.6,2100.0,300.0,500.0,4400.0
4Q3XF2JJ020055,4Q0YM76J0Q008C,238.4,431.2,196.3,324.4,1900.0,300.0,500.0,4700.0
4Q3XF2JJ020056,4Q0YM76J0Q009Q,200.3,360.2,149.3,270.7,2000.0,300.0,500.0,4700.0
4Q3XF2JJ02005D,4Q0YM76J0Q00CP,227.9,417.8,176.4,324.4,2300.0,300.0,500.0,5500.0
4Q3XF2JJ02005F,4Q0YM76J0N003C,223.2,371.4,158.9,266.1,2000.0,400.0,600.0,4900.0
4Q3XF2JJ02005P,4Q0YM76J0Q006T,232.2,418.4,169.2,296.7,2100.0,500.0,600.0,4400.0
4Q3XF2JJ02005T,4Q0YM76J0N004P,30.5,307.8,153.9,134.6,2000.0,400.0,500.0,4900.0
4Q3XF2JJ02005Y,4Q0YM76J0Q001B,213.3,405.7,158.3,280.3,2300.0,300.0,500.0,4800.0
4Q3XF2JJ020061,4Q0YM76J0Q005B,233.8,417.5,173.0,311.8,2100.0,500.0,600.0,4400.0
4Q3XF2JJ020067,4Q0YM76J0N002G,231.9,400.0,175.9,272.1,2000.0,400.0,600.0,4900.0
4Q3XF2JJ020069,4Q0YM76J0Q00CC,238.9,413.9,178.7,294.4,1800.0,400.0,500.0,4400.0
4Q3XF2JJ02006D,4Q0YM76J0Q008N,238.1,385.9,167.5,298.0,2200.0,600.0,600.0,5500.0
4Q3XF2JJ02006K,4Q0YM76J0Q00GT,200.9,374.9,146.5,280.1,2300.0,600.0,600.0,4000.0
4Q3XF2JJ02006S,4Q0YM76J0N002M,30.5,282.6,130.6,135.8,2000.0,400.0,600.0,4900.0
4Q3XF2JJ020074,4Q0YM76J0Q001M,256.6,417.8,174.2,307.9,2100.0,600.0,600.0,4100.0
4Q3XF2JJ02007F,4Q0YM76J0Q0053,223.2,364.7,152.2,247.2,2300.0,600.0,700.0,4200.0
4Q3XF2JJ02007K,4Q0YM76J0Q0045,236.7,397.2,169.6,276.7,1900.0,300.0,500.0,5700.0
4Q3XF2JJ02007S,4Q0YM76J0Q006J,226.8,402.1,169.2,270.4,2100.0,500.0,600.0,4400.0
4Q3XF2JJ02007W,4Q0YM76J0Q003Q,219.7,382.0,158.3,269.2,2200.0,500.0,600.0,4400.0
4Q3XF2JJ02007Y,4Q0YM76J0Q006M,237.5,381.1,162.9,259.3,2100.0,500.0,600.0,5300.0
4Q3XF2JJ02007Z,4Q0YM76J0Q007D,209.6,383.6,168.0,272.8,2100.0,500.0,600.0,4800.0
4Q3XF2JJ020084,4Q0YM76J0Q007G,220.9,411.3,180.5,283.0,1900.0,300.0,500.0,4700.0
4Q3XF2JJ02008F,4Q0YM76J0Q00G1,203.7,357.9,149.3,254.9,2100.0,300.0,500.0,4300.0
4Q3XF2JJ02008J,4Q0YM76J0N006J,231.9,406.8,175.9,273.3,2000.0,400.0,500.0,4900.0
4Q3XF2JJ02008L,4Q0YM76J0Q00F5,243.1,392.7,171.3,284.0,2900.0,900.0,900.0,6000.0
4Q3XF2JJ02008P,4Q0YM76J0Q00C4,197.2,375.7,156.6,260.4,2600.0,800.0,700.0,6000.0
4Q3XF2JJ02008X,4Q0YM76J0Q004P,235.5,402.9,181.0,284.2,2100.0,700.0,600.0,4400.0
4Q3XF2JJ02009B,4Q0YM76J0Q00C9,255.8,422.4,170.7,288.6,2100.0,300.0,500.0,4400.0
4Q3XF2JJ02009C,4Q0YM76J0Q00B2,186.5,329.0,134.0,268.7,2500.0,700.0,700.0,5600.0
4Q3XF2JJ02009H,4Q0YM76J0N0021,218.6,403.7,162.9,287.3,2000.0,400.0,600.0,4900.0
4Q3XF2JJ02009K,4Q0YM76J0Q0057,220.9,404.0,175.9,290.0,1900.0,300.0,500.0,4700.0
4Q3XF2JJ02009P,4Q0YM76J0Q00H9,253.5,419.0,186.6,295.3,2100.0,500.0,500.0,4400.0
4Q3XF2JJ02009R,4Q0YM76J0Q00H0,201.2,363.5,162.3,282.5,2000.0,300.0,500.0,5200.0
4Q3XF2JJ02009W,4Q0YM76J0Q00B9,242.6,422.1,186.6,320.9,2300.0,400.0,600.0,5100.0
4Q3XF2JJ02009Z,4Q0YM76J0Q0052,244.8,413.9,190.0,286.6,1400.0,300.0,500.0,3600.0
4Q3XF2JJ0200B2,4Q0YM76J0Q006F,188.5,351.9,158.9,266.2,2100.0,500.0,600.0,5800.0
4Q3XF2JJ0200B3,4Q0YM76J0Q003V,237.2,398.3,159.4,279.3,2400.0,600.0,600.0,4100.0
4Q3XF2JJ0200B8,4Q0YM76J0Q000W,216.7,397.2,178.2,293.6,1800.0,300.0,400.0,4400.0
4Q3XF2JJ0200B9,4Q0YM76J0Q00BG,208.8,364.9,165.2,271.9,2400.0,600.0,600.0,5100.0
4Q3XF2JJ000065,4Q0YM76J0N0043,73.0,335.8,149.9,154.0,2600.0,500.0,600.0,5800.0
4Q3XF2JJ0100HQ,4Q0YM76J0Q00G2,218.3,379.4,151.6,268.4,2400.0,600.0,600.0,5400.0
4Q3XF2JJ00001Y,4Q0YM76J0N00B0,33.3,304.1,147.0,135.3,2000.0,400.0,600.0,4900.0
4Q3XF2JHCZ000V,4Q0YM76J0N0095,34.4,317.1,148.2,167.8,2200.0,500.0,600.0,5600.0
4Q3XF2JJ00001S,4Q0YM76J0N009P,248.2,427.2,186.0,278.2,1400.0,300.0,500.0,3900.0
4Q3XF2JJ01009Z,4Q0YM76J0Q00G3,256.6,424.6,195.2,288.8,2100.0,500.0,500.0,4000.0
4Q3XF2JJ01003N,4Q0YM76J0Q00DT,244.6,398.3,166.9,273.5,2100.0,300.0,500.0,5900.0
4Q3XF2JJ010003,4Q0YM76J0N009V,74.1,293.6,136.9,144.1,2000.0,400.0,500.0,5600.0
4Q3XF2JJ010081,4Q0YM76J0N00BG,212.4,387.3,165.2,288.8,2300.0,400.0,600.0,6000.0
4Q3XF2JJ01008L,4Q0YM76J0N009F,237.2,402.3,167.5,285.1,2000.0,400.0,600.0,4900.0
4Q3XF2JJ0100DD,4Q0YM76J0N009L,204.5,390.1,156.6,311.0,1400.0,300.0,500.0,3900.0
4Q3XF2JJ00000V,4Q0YM76J0N00B3,210.5,383.9,156.0,291.2,2600.0,900.0,800.0,6000.0
4Q3XF2JJ000018,4Q0YM76J0N00BC,171.0,380.2,172.4,208.4,1900.0,300.0,500.0,4400.0
4Q3XF2JJ01006F,4Q0YM76J0Q0004,215.0,387.6,166.9,284.6,2000.0,400.0,600.0,4900.0
4Q3XF2JJ01000P,4Q0YM76J0N009H,230.8,404.0,177.6,284.0,2000.0,400.0,600.0,5300.0
4Q3XF2JJ01004F,4Q0YM76J0N004S,233.2,410.8,184.3,302.4,2200.0,500.0,600.0,4900.0
