lv-R,lv-G,lv-B,lv-W,mix_W_2000_r_ratio_current,mix_W_2000_g_ratio_current,mix_W_2000_b_ratio_current,w_4000_current
213.5,380.8,165.2,269.7,2400.0,600.0,600.0,5200.0
242.8,457.2,183.7,324.6,1700.0,300.0,400.0,4200.0
30.7,300.4,156.0,147.4,2100.0,500.0,600.0,4800.0
187.7,341.1,145.3,260.0,2100.0,400.0,500.0,5900.0
200.3,370.6,160.6,262.4,2100.0,500.0,600.0,5600.0
200.3,371.4,164.0,264.4,2100.0,500.0,600.0,4400.0
233.5,410.0,184.3,270.4,2000.0,400.0,500.0,4400.0
164.8,341.1,168.0,170.7,2100.0,300.0,500.0,4400.0
260.8,417.5,177.6,287.6,2100.0,300.0,500.0,4400.0
238.4,431.2,196.3,324.4,1900.0,300.0,500.0,4700.0
200.3,360.2,149.3,270.7,2000.0,300.0,500.0,4700.0
227.9,417.8,176.4,324.4,2300.0,300.0,500.0,5500.0
223.2,371.4,158.9,266.1,2000.0,400.0,600.0,4900.0
232.2,418.4,169.2,296.7,2100.0,500.0,600.0,4400.0
30.5,307.8,153.9,134.6,2000.0,400.0,500.0,4900.0
213.3,405.7,158.3,280.3,2300.0,300.0,500.0,4800.0
233.8,417.5,173.0,311.8,2100.0,500.0,600.0,4400.0
231.9,400.0,175.9,272.1,2000.0,400.0,600.0,4900.0
238.9,413.9,178.7,294.4,1800.0,400.0,500.0,4400.0
238.1,385.9,167.5,298.0,2200.0,600.0,600.0,5500.0
200.9,374.9,146.5,280.1,2300.0,600.0,600.0,4000.0
30.5,282.6,130.6,135.8,2000.0,400.0,600.0,4900.0
256.6,417.8,174.2,307.9,2100.0,600.0,600.0,4100.0
223.2,364.7,152.2,247.2,2300.0,600.0,700.0,4200.0
236.7,397.2,169.6,276.7,1900.0,300.0,500.0,5700.0
226.8,402.1,169.2,270.4,2100.0,500.0,600.0,4400.0
219.7,382.0,158.3,269.2,2200.0,500.0,600.0,4400.0
237.5,381.1,162.9,259.3,2100.0,500.0,600.0,5300.0
209.6,383.6,168.0,272.8,2100.0,500.0,600.0,4800.0
220.9,411.3,180.5,283.0,1900.0,300.0,500.0,4700.0
203.7,357.9,149.3,254.9,2100.0,300.0,500.0,4300.0
231.9,406.8,175.9,273.3,2000.0,400.0,500.0,4900.0
243.1,392.7,171.3,284.0,2900.0,900.0,900.0,6000.0
197.2,375.7,156.6,260.4,2600.0,800.0,700.0,6000.0
235.5,402.9,181.0,284.2,2100.0,700.0,600.0,4400.0
255.8,422.4,170.7,288.6,2100.0,300.0,500.0,4400.0
186.5,329.0,134.0,268.7,2500.0,700.0,700.0,5600.0
218.6,403.7,162.9,287.3,2000.0,400.0,600.0,4900.0
220.9,404.0,175.9,290.0,1900.0,300.0,500.0,4700.0
253.5,419.0,186.6,295.3,2100.0,500.0,500.0,4400.0
201.2,363.5,162.3,282.5,2000.0,300.0,500.0,5200.0
242.6,422.1,186.6,320.9,2300.0,400.0,600.0,5100.0
244.8,413.9,190.0,286.6,1400.0,300.0,500.0,3600.0
188.5,351.9,158.9,266.2,2100.0,500.0,600.0,5800.0
237.2,398.3,159.4,279.3,2400.0,600.0,600.0,4100.0
216.7,397.2,178.2,293.6,1800.0,300.0,400.0,4400.0
208.8,364.9,165.2,271.9,2400.0,600.0,600.0,5100.0
73.0,335.8,149.9,154.0,2600.0,500.0,600.0,5800.0
218.3,379.4,151.6,268.4,2400.0,600.0,600.0,5400.0
33.3,304.1,147.0,135.3,2000.0,400.0,600.0,4900.0
34.4,317.1,148.2,167.8,2200.0,500.0,600.0,5600.0
248.2,427.2,186.0,278.2,1400.0,300.0,500.0,3900.0
256.6,424.6,195.2,288.8,2100.0,500.0,500.0,4000.0
244.6,398.3,166.9,273.5,2100.0,300.0,500.0,5900.0
74.1,293.6,136.9,144.1,2000.0,400.0,500.0,5600.0
212.4,387.3,165.2,288.8,2300.0,400.0,600.0,6000.0
237.2,402.3,167.5,285.1,2000.0,400.0,600.0,4900.0
204.5,390.1,156.6,311.0,1400.0,300.0,500.0,3900.0
210.5,383.9,156.0,291.2,2600.0,900.0,800.0,6000.0
171.0,380.2,172.4,208.4,1900.0,300.0,500.0,4400.0
215.0,387.6,166.9,284.6,2000.0,400.0,600.0,4900.0
